,School Website,Domain,Domain_1,Domain_2,Domain_3,Domain_4,MXRecords,Valid MX Records
0,,,,,,,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
1,,,,,,,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
2,https://ps177k.com,ps177k,ps177k.org,ps177k.com,ps177k.edu,ps177k.net,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
3,https://parksideprepacademy.ss11.sharpschool.com/,parksideprepacademy,parksideprepacademy.org,parksideprepacademy.com,parksideprepacademy.edu,parksideprepacademy.net,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
4,https://www.ps3brooklyn.org/,ps3brooklyn,ps3brooklyn.org,ps3brooklyn.com,ps3brooklyn.edu,ps3brooklyn.net,"('alt2.aspmx.l.google.com.', 'error', 'error', 'error')","(1, 0, 0, 0)"
5,https://www.ps58brooklyn.org/,ps58brooklyn,ps58brooklyn.org,ps58brooklyn.com,ps58brooklyn.edu,ps58brooklyn.net,"('eforward3.registrar-servers.com.', 'error', 'error', 'error')","(1, 0, 0, 0)"
6,https://www.p4brooklyn.org/,p4brooklyn,p4brooklyn.org,p4brooklyn.com,p4brooklyn.edu,p4brooklyn.net,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
7,https://www.ps59.org/,ps59,ps59.org,ps59.com,ps59.edu,ps59.net,"('error', 'smtpin.rzone.de.', 'error', 'alt2.aspmx.l.google.com.')","(0, 1, 0, 1)"
8,https://www.ms61.net/,ms61,ms61.org,ms61.com,ms61.edu,ms61.net,"('frontline-mx.email-protect.gosecure.net.', 'error', 'error', 'error')","(1, 0, 0, 0)"
9,,,,,,,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
10,,,,,,,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
11,https://www.jhs292.org/,jhs292,jhs292.org,jhs292.com,jhs292.edu,jhs292.net,"('alt1.aspmx.l.google.com.', 'error', 'error', 'error')","(1, 0, 0, 0)"
12,,,,,,,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
13,,,,,,,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
14,https://www.ps65k.com/,ps65k,ps65k.org,ps65k.com,ps65k.edu,ps65k.net,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
15,,,,,,,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
16,https://seeallacademy.com/,seeallacademy,seeallacademy.org,seeallacademy.com,seeallacademy.edu,seeallacademy.net,"('error', 'alt4.aspmx.l.google.com.', 'error', 'error')","(0, 1, 0, 0)"
17,https://www.007k.org/,007k,007k.org,007k.com,007k.edu,007k.net,"('mail.echalk.com.', 'error', 'error', 'error')","(0, 0, 0, 0)"
18,https://psis66blue.org/,psis66blue,psis66blue.org,psis66blue.com,psis66blue.edu,psis66blue.net,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
19,https://ps8brooklyn.org/,ps8brooklyn,ps8brooklyn.org,ps8brooklyn.com,ps8brooklyn.edu,ps8brooklyn.net,"('aspmx2.googlemail.com.', 'error', 'error', 'error')","(1, 0, 0, 0)"
20,https://www.thedorseyschool.org/,thedorseyschool,thedorseyschool.org,thedorseyschool.com,thedorseyschool.edu,thedorseyschool.net,"('error', 'aspmx.l.google.com.', 'error', 'error')","(0, 1, 0, 0)"
21,https://www.ps9brooklyn.org/,ps9brooklyn,ps9brooklyn.org,ps9brooklyn.com,ps9brooklyn.edu,ps9brooklyn.net,"('aspmx.l.google.com.', 'error', 'error', 'error')","(1, 0, 0, 0)"
22,https://www.ps10.org/,ps10,ps10.org,ps10.com,ps10.edu,ps10.net,"('alt1.aspmx.l.google.com.', 'mail.computer.com.', 'error', 'error')","(1, 1, 0, 0)"
23,,,,,,,"('error', 'error', 'error', 'error')","(0, 0, 0, 0)"
24,https://www.ps11bk.org/,ps11bk,ps11bk.org,ps11bk.com,ps11bk.edu,ps11bk.net,"('aspmx.l.google.com.', 'error', 'error', 'error')","(1, 0, 0, 0)"
25,https://www.is68.org/,is68,is68.org,is68.com,is68.edu,is68.net,"('aspmx.l.google.com.', 'mx2.ewebdevelopment.com.', 'error', 'error')","(1, 1, 0, 0)"
26,https://www.ps69k.org/,ps69k,ps69k.org,ps69k.com,ps69k.edu,ps69k.net,"('smtp.google.com.', 'error', 'error', 'smtp.google.com.')","(1, 0, 0, 1)"
27,https://www.successacademies.org/,successacademies,successacademies.org,successacademies.com,successacademies.edu,successacademies.net,"('alt1.aspmx.l.google.com.', 'mailstore1.secureserver.net.', 'error', 'error')","(1, 1, 0, 0)"
28,https://www.juanmorelcampos.com/,juanmorelcampos,juanmorelcampos.org,juanmorelcampos.com,juanmorelcampos.edu,juanmorelcampos.net,"('mailstore1.secureserver.net.', 'alt3.aspmx.l.google.com.', 'error', 'error')","(1, 1, 0, 0)"
