School Name,Latitude,Longitude,Grade,District,Borough,School Website,Domain_1,Domain_2,Domain_3,Domain_4
P.S. 001 The Bergen,40.6492212,-74.01170038740041,"PK,0K,01,02,03,04,05,SE",15,Brooklyn,,,,,
Parkside Preparatory Academy,40.6564413,-73.9515241,"06,07,08,SE",17,Brooklyn,https://parksideprepacademy.ss11.sharpschool.com/,parksideprepacademy.org,parksideprepacademy.com,parksideprepacademy.edu,parksideprepacademy.net
P.S. 003 The Bedford Village,40.68230255,-73.95554342370406,"PK,0K,01,02,03,04,05,SE",13,Brooklyn,https://www.ps3brooklyn.org/,ps3brooklyn.org,ps3brooklyn.com,ps3brooklyn.edu,ps3brooklyn.net
P.S. K004,40.65831435,-73.87896336738052,"PK,0K,01,02,03,04,05,SE",19,Brooklyn,https://www.p4brooklyn.org/,p4brooklyn.org,p4brooklyn.com,p4brooklyn.edu,p4brooklyn.net
P.S. 005 Dr. Ronald McNair,40.6855458,-73.9226032,"PK,0K,01,02,03,04,05,SE",16,Brooklyn,,,,,
Norma Adams Clemons Academy,40.6488889,-73.9561111,"PK,0K,01,02,03,04,05,SE",17,Brooklyn,,,,,
P.S. 007 Abraham Lincoln,40.68932475,-73.87313338576763,"PK,0K,01,02,03,04,05,SE",19,Brooklyn,https://www.007k.org/,007k.org,007k.com,007k.edu,007k.net
The Emily Warren Roebling School,40.700800900000004,-73.99276080491771,"0K,01,02,03,04,05,SE",13,Brooklyn,https://ps8brooklyn.org/,ps8brooklyn.org,ps8brooklyn.com,ps8brooklyn.edu,ps8brooklyn.net
Public School 9 The Sarah Smith Garnet School,40.67852215,-73.96635964364509,"PK,0K,01,02,03,04,05,SE",13,Brooklyn,https://www.ps9brooklyn.org/,ps9brooklyn.org,ps9brooklyn.com,ps9brooklyn.edu,ps9brooklyn.net
"Magnet School of Math, Science and Design Technology",40.6609074,-73.98594269794096,"0K,01,02,03,04,05,SE",15,Brooklyn,https://www.ps10.org/,ps10.org,ps10.com,ps10.edu,ps10.net
P.S. 011 Purvis J. Behan,40.6855509,-73.96583810763471,"PK,0K,01,02,03,04,05,SE",13,Brooklyn,https://www.ps11bk.org/,ps11bk.org,ps11bk.com,ps11bk.edu,ps11bk.net
Dr. Jacqueline Peek-Davis School,40.6728542,-73.9197565,"PK,0K,01,02,03,04,05,SE",23,Brooklyn,,,,,
P.S. 013 Roberto Clemente,40.663846649999996,-73.89326336243326,"PK,0K,01,02,03,04,05,SE",19,Brooklyn,,,,,
J.H.S. 014 Shell Bank,40.5934838,-73.9377956,"06,07,08,SE",22,Brooklyn,https://www.shellbankjhs.org/,shellbankjhs.org,shellbankjhs.com,shellbankjhs.edu,shellbankjhs.net
P.S. 015 Patrick F. Daly,40.67693345,-74.01195231409375,"PK,0K,01,02,03,04,05,SE",15,Brooklyn,https://www.ps15k.org/,ps15k.org,ps15k.com,ps15k.edu,ps15k.net
P.S. 016 Leonard Dunkly,40.706023200000004,-73.96182709405845,"PK,0K,01,02,03,04,05,SE",14,Brooklyn,https://www.brooklynps16.com/,brooklynps16.org,brooklynps16.com,brooklynps16.edu,brooklynps16.net
P.S. 017 Henry D. Woodworth,40.7150849,-73.9569057,"PK,0K,01,02,03,04,05,SE",14,Brooklyn,https://www.ps17kbrooklyn.org/,ps17kbrooklyn.org,ps17kbrooklyn.com,ps17kbrooklyn.edu,ps17kbrooklyn.net
P.S. 018 Edward Bush,40.71072,-73.9468991,"PK,0K,01,02,03,04,05,SE",14,Brooklyn,,,,,
P.S. 020 Clinton Hill,40.6910261,-73.97109904546058,"PK,0K,01,02,03,04,05,SE",13,Brooklyn,https://www.ps20.org/,ps20.org,ps20.com,ps20.edu,ps20.net
P.S. 021 Crispus Attucks,40.6803709,-73.92604270728506,"PK,0K,01,02,03,04,05,SE",16,Brooklyn,https://www.cs21.school/,cs21.org,cs21.com,cs21.edu,cs21.net
P.S. 023 Carter G. Woodson,40.694414300000005,-73.94747129298835,"PK,0K,01,02,03,04,05,SE",14,Brooklyn,,,,,
P.S. 024,40.65274685,-74.00445465251588,"PK,0K,01,02,03,04,05,SE",15,Brooklyn,https://www.ps24brooklyn.com/,ps24brooklyn.org,ps24brooklyn.com,ps24brooklyn.edu,ps24brooklyn.net
P.S. 025 Eubie Blake School,40.6914563,-73.94091575049436,"0K,01,02,03,04,05,SE",16,Brooklyn,https://www.ps25k.com/,ps25k.org,ps25k.com,ps25k.edu,ps25k.net
P.S. 026 Jesse Owens,40.692207571428575,-73.93035842857142,"PK,0K,01,02,03,04,05,SE",16,Brooklyn,https://www.jesseowensps26.org/,jesseowensps26.org,jesseowensps26.com,jesseowensps26.edu,jesseowensps26.net
P.S. 029 John M. Harrigan,40.6868795,-73.99766793985955,"PK,0K,01,02,03,04,05,SE",15,Brooklyn,https://www.ps29brooklyn.org/,ps29brooklyn.org,ps29brooklyn.com,ps29brooklyn.edu,ps29brooklyn.net
P.S./I.S. 30 Mary White Ovington,40.633624636363635,-74.0240376060606,"0K,01,02,03,04,05,06,07,08,SE",20,Brooklyn,https://www.themarywhiteovingtonschool.org/,themarywhiteovingtonschool.org,themarywhiteovingtonschool.com,themarywhiteovingtonschool.edu,themarywhiteovingtonschool.net
P.S. 031 Samuel F. Dupont,40.726907100000005,-73.95399598250972,"PK,0K,01,02,03,04,05,SE",14,Brooklyn,,,,,
P.S. 032 Samuel Mills Sprole,40.6804309,-73.9918421,"PK,0K,01,02,03,04,05,SE",15,Brooklyn,https://www.ps32.org/,ps32.org,ps32.com,ps32.edu,ps32.net
P.S. 034 Oliver H. Perry,40.72639205,-73.9497692670706,"PK,0K,01,02,03,04,05,SE",14,Brooklyn,http://www.ps34.org/,ps34.org,ps34.com,ps34.edu,ps34.net
M.S. 035 Stephen Decatur,40.6818194,-73.9355312,"06,07,08,SE",16,Brooklyn,https://www.ms35k.org/,ms35k.org,ms35k.com,ms35k.edu,ms35k.net
P.S. 36,40.65942045,-73.88966618126568,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",19,Brooklyn,https://www.p36k.org/,p36k.org,p36k.com,p36k.edu,p36k.net
Beginning with Children Charter School II,40.703832899999995,-73.95378415472399,"0K,01,02,03,04,05,06,07,08,09,10",14,Brooklyn,https://www.bwccs2.org/,bwccs2.org,bwccs2.com,bwccs2.edu,bwccs2.net
P.S. 038 The Pacific,40.68495485,-73.9828250726062,"PK,0K,01,02,03,04,05,SE",15,Brooklyn,https://ps38bklyn.com/,ps38bklyn.org,ps38bklyn.com,ps38bklyn.edu,ps38bklyn.net
P.S. 039 Henry Bristow,40.668646949999996,-73.98290775516017,"0K,01,02,03,04,05,SE",15,Brooklyn,https://www.ps39.org/,ps39.org,ps39.com,ps39.edu,ps39.net
P.S. 040 George W. Carver,40.680201100000005,-73.92147490376675,"PK,0K,01,02,03,04,05,SE",16,Brooklyn,,,,,
P.S. 041 Francis White,40.6601813,-73.90705321058172,"0K,01,02,03,04,05,SE",23,Brooklyn,,,,,
P.S. 044 Marcus Garvey,40.6861818,-73.94116259619689,"PK,0K,01,02,03,04,05,SE",13,Brooklyn,https://www.marcusgarveymagnet.org/,marcusgarveymagnet.org,marcusgarveymagnet.com,marcusgarveymagnet.edu,marcusgarveymagnet.net
